Issue Type,Summary,Status,Updated,Created,Priority,Issue key,Issue id,Parent id,Reporter,Assignee,Resolved,Time Spent
Story,The fall of Sauron at Barad-dûr,Done,2022-02-14 12:59:00,2022-02-13 09:41:00,High,LR-9155,339052,,Gandalf the Grey,Saruman,2022-02-13 09:50:00,23400.0
Code review,The fellowship forms in Rivendell,Done,2022-02-18 15:17:00,2022-02-12 20:36:00,Medium,LR-1419,338962,272467.0,Pippin Took,Gandalf,2022-02-18 04:10:00,47280.0
Code review,Saruman's betrayal is revealed,Done,2022-02-18 15:17:00,2022-02-12 18:58:00,Unspecified,LR-6289,339010,333440.0,Gimli,Aragorn,2022-02-17 17:36:00,13200.0
Code review,The Shire is restored to peace,Done,2022-02-14 08:19:00,2022-02-12 17:18:00,ASAP,LR-4830,339002,338044.0,Samwise Gamgee,Gandalf,2022-02-13 10:42:00,5400.0
Sub-task,The fellowship forms in Rivendell,Done,2022-02-18 17:15:00,2022-02-12 14:12:00,Medium,LR-9885,338760,329568.0,Pippin Took,Samwise Gamgee,2022-02-18 17:15:00,28800.0
Task,The Ents march on Isengard,Done,2022-02-18 15:18:00,2022-02-11 16:09:00,Unspecified,LR-8507,338507,,Boromir,Frodo Baggins,2022-02-17 17:07:00,28800.0
Code review,Frodo and Sam reach Mount Doom,Done,2022-02-18 15:18:00,2022-02-11 15:50:00,High,LR-1786,338468,338170.0,Frodo Baggins,Gimli,2022-02-18 12:29:00,17400.0
Sub-task,The fellowship forms in Rivendell,Done,2022-02-17 15:09:00,2022-02-11 15:22:00,ASAP,LR-5120,338463,331993.0,Gimli,Samwise Gamgee,2022-02-17 11:55:00,28800.0
Code review,Eowyn defeats the Witch-king,Done,2022-02-13 09:54:00,2022-02-11 11:49:00,ASAP,LR-2025,338352,338407.0,Frodo Baggins,Legolas,2022-02-11 12:10:00,1200.0
Bug,Frodo and Sam reach Mount Doom,Done,2022-02-12 09:45:00,2022-02-11 09:58:00,ASAP,LR-8955,338407,,Frodo Baggins,Gimli,2022-02-11 12:15:00,1800.0
Task,The Paths of the Dead are taken,Done,2022-02-12 09:45:00,2022-02-11 09:52:00,Unspecified,LR-2045,338333,,Aragorn,Frodo Baggins,2022-02-11 16:30:00,28800.0
Story,Saruman's betrayal is revealed,Done,2022-02-19 14:15:00,2022-02-10 23:07:00,High,LR-6239,338170,,Frodo Baggins,Frodo Baggins,2022-02-19 14:15:00,28800.0
Story,Gollum's betrayal leads to chaos,Done,2022-02-12 09:45:00,2022-02-10 21:37:00,High,LR-9467,338166,,Samwise Gamgee,Legolas,2022-02-10 21:44:00,18000.0
Code review,The Mines of Moria are breached,Done,2022-02-14 08:19:00,2022-02-10 21:20:00,ASAP,LR-1071,338164,338044.0,Aragorn,Boromir,2022-02-12 17:18:00,3600.0
Story,The Shire is restored to peace,Done,2022-02-18 15:59:00,2022-02-10 19:36:00,ASAP,LR-3528,338161,,Legolas,Saruman,2022-02-18 15:16:00,1800.0
Code review,The battle of Pelennor Fields,Done,2022-02-12 09:45:00,2022-02-10 13:27:00,High,LR-9106,338105,336030.0,Frodo Baggins,Gimli,2022-02-10 22:36:00,8100.0
Task,The battle of Pelennor Fields,Done,2022-02-14 14:06:00,2022-02-10 13:13:00,ASAP,LR-4065,338044,,Gandalf the Grey,Legolas,2022-02-13 16:57:00,30600.0
Task,The fall of Sauron at Barad-dûr,Done,2022-02-12 09:45:00,2022-02-10 07:59:00,Unspecified,LR-8528,337939,,Gimli,Gimli,2022-02-10 15:54:00,28800.0
Sub-task,Gollum's betrayal leads to chaos,Done,2022-02-07 19:26:00,2022-02-07 17:57:00,ASAP,LR-7249,337818,331993.0,Aragorn,Aragorn,2022-02-07 17:57:00,21600.0
Sub-task,The Mines of Moria are breached,Done,2022-02-07 19:26:00,2022-02-07 17:52:00,ASAP,LR-9454,337816,331993.0,Samwise Gamgee,Gandalf,2022-02-07 17:52:00,7200.0
Code review,The fellowship forms in Rivendell,Done,2022-02-07 19:26:00,2022-02-07 15:18:00,Unspecified,LR-5481,337702,337370.0,Aragorn,Frodo Baggins,2022-02-07 16:06:00,1800.0
Bug,Eowyn defeats the Witch-king,Done,2022-02-18 15:18:00,2022-02-07 13:12:00,ASAP,LR-5060,337398,,Frodo Baggins,Saruman,2022-02-18 10:11:00,1800.0
Code review,Frodo and Sam reach Mount Doom,Done,2022-02-12 09:45:00,2022-02-07 12:26:00,High,LR-1702,337393,337447.0,Aragorn,Legolas,2022-02-11 16:49:00,8520.0
Story,The Shire is restored to peace,Done,2022-02-17 15:09:00,2022-02-07 10:33:00,High,LR-9581,337447,,Frodo Baggins,Aragorn,2022-02-17 11:55:00,14040.0
Research,The Mines of Moria are breached,Done,2022-02-18 15:18:00,2022-02-07 09:30:00,Unspecified,LR-5122,337370,,Aragorn,Gimli,2022-02-18 13:13:00,28440.0
Task,The One Ring has been found,Done,2022-02-07 19:26:00,2022-02-07 08:56:00,Unspecified,LR-2918,337434,,Boromir,Legolas,2022-02-07 18:56:00,28800.0
Code review,Aragorn claims the throne of Gondor,Done,2022-02-10 10:49:00,2022-02-06 14:34:00,High,LR-1377,337321,323360.0,Frodo Baggins,Frodo Baggins,2022-02-07 10:22:00,10800.0
Task,Eowyn defeats the Witch-king,Done,2022-02-14 08:19:00,2022-02-06 13:32:00,ASAP,LR-3118,337266,,Gandalf the Grey,Gimli,2022-02-13 15:36:00,76320.0
Code review,Frodo and Sam reach Mount Doom,Done,2022-02-07 19:26:00,2022-02-06 10:16:00,High,LR-2607,337242,334628.0,Aragorn,Gimli,2022-02-07 11:07:00,16200.0
Task,The Mines of Moria are breached,Done,2022-02-07 19:26:00,2022-02-06 09:27:00,High,LR-7341,337232,,Gimli,Gandalf,2022-02-07 15:26:00,16800.0
Task,The Mines of Moria are breached,Done,2022-02-07 19:26:00,2022-02-06 08:59:00,Medium,LR-9969,337225,,Gimli,Gandalf,2022-02-06 18:29:00,28800.0
Story,Helm's Deep is under siege,Done,2022-02-14 08:19:00,2022-02-06 00:05:00,High,LR-8230,337167,,Aragorn,Samwise Gamgee,2022-02-13 13:58:00,7200.0
Code review,Gandalf returns to Middle-Earth,Done,2022-02-07 19:26:00,2022-02-05 17:17:00,ASAP,LR-2894,337150,312880.0,Gandalf the Grey,Frodo Baggins,2022-02-06 12:12:00,5400.0
Code review,Eowyn defeats the Witch-king,Done,2022-02-05 17:17:00,2022-02-05 16:52:00,High,LR-1543,337132,300478.0,Gimli,Samwise Gamgee,2022-02-05 17:13:00,900.0
Code review,The fellowship forms in Rivendell,Done,2022-02-05 19:00:00,2022-02-05 15:08:00,Medium,LR-9309,337119,336968.0,Samwise Gamgee,Gandalf,2022-02-05 17:17:00,4500.0
Sub-task,Eowyn defeats the Witch-king,Done,2022-02-12 09:45:00,2022-02-05 14:34:00,Unspecified,LR-3639,337115,330329.0,Gandalf the Grey,Samwise Gamgee,2022-02-11 10:09:00,28800.0
Code review,The Mines of Moria are breached,Done,2022-02-07 19:26:00,2022-02-05 12:26:00,High,LR-5803,337101,320323.0,Boromir,Aragorn,2022-02-06 16:51:00,7200.0
Code review,The fellowship forms in Rivendell,Done,2022-02-12 09:45:00,2022-02-05 11:49:00,High,LR-2015,336977,333236.0,Gandalf the Grey,Samwise Gamgee,2022-02-10 17:37:00,16200.0
Story,The battle of Pelennor Fields,Done,2022-02-12 09:45:00,2022-02-05 10:44:00,Medium,LR-1440,336968,,Samwise Gamgee,Gimli,2022-02-12 09:45:00,9720.0
Task,The Shire is restored to peace,Done,2022-02-05 17:17:00,2022-02-05 08:52:00,Unspecified,LR-6514,336880,,Boromir,Saruman,2022-02-05 16:46:00,28800.0
Sub-task,The fellowship forms in Rivendell,Done,2022-02-05 17:17:00,2022-02-04 14:53:00,Unspecified,LR-4666,336733,330329.0,Samwise Gamgee,Legolas,2022-02-05 14:33:00,7200.0
Sub-task,Gollum's betrayal leads to chaos,Done,2022-02-07 19:26:00,2022-02-04 14:48:00,ASAP,LR-5199,336825,331993.0,Frodo Baggins,Gimli,2022-02-07 17:58:00,86400.0
Sub-task,The Shire is restored to peace,Done,2022-02-05 14:33:00,2022-02-04 14:47:00,ASAP,LR-3487,336824,331993.0,Legolas,Gandalf,2022-02-04 14:49:00,21600.0
Task,The One Ring has been found,Done,2022-02-04 18:56:00,2022-02-04 14:27:00,High,LR-6060,336731,,Boromir,Legolas,2022-02-04 17:56:00,19800.0
Task,Eowyn defeats the Witch-king,Done,2022-02-10 21:38:00,2022-02-04 12:48:00,High,LR-5614,336720,,Gimli,Aragorn,2022-02-07 10:38:00,1800.0
Sub-task,The Paths of the Dead are taken,Done,2022-02-05 17:17:00,2022-02-04 10:26:00,Unspecified,LR-7487,336702,329470.0,Frodo Baggins,Boromir,2022-02-05 16:25:00,3600.0
Task,The fall of Sauron at Barad-dûr,Done,2022-02-10 21:40:00,2022-02-04 09:53:00,High,LR-8046,336665,,Legolas,Samwise Gamgee,2022-02-05 16:57:00,19200.0
Task,The Mines of Moria are breached,Done,2022-02-05 17:17:00,2022-02-04 09:53:00,High,LR-4630,336664,,Aragorn,Samwise Gamgee,2022-02-05 16:50:00,18000.0
Research,The One Ring has been found,Done,2022-02-04 18:56:00,2022-02-04 09:45:00,Unspecified,LR-5709,336597,,Frodo Baggins,Saruman,2022-02-04 14:28:00,7200.0
Task,Gandalf returns to Middle-Earth,Done,2022-02-04 18:56:00,2022-02-04 09:20:00,Unspecified,LR-5727,336591,,Pippin Took,Gimli,2022-02-04 16:50:00,28800.0
Research,Frodo and Sam reach Mount Doom,Done,2022-02-04 18:56:00,2022-02-04 08:56:00,High,LR-3210,336661,,Pippin Took,Gimli,2022-02-04 09:03:00,18000.0
Code review,Saruman's betrayal is revealed,Done,2022-02-05 13:41:00,2022-02-03 18:16:00,URGENT,LR-3020,336475,335604.0,Boromir,Legolas,2022-02-04 13:43:00,7200.0
Sub-task,The Shire is restored to peace,Done,2022-02-04 18:56:00,2022-02-03 13:41:00,ASAP,LR-4768,336516,331993.0,Frodo Baggins,Gimli,2022-02-03 23:40:00,21600.0
Code review,The Shire is restored to peace,Done,2022-02-07 19:26:00,2022-02-03 13:35:00,High,LR-6523,336514,336198.0,Boromir,Samwise Gamgee,2022-02-05 22:30:00,19800.0
Task,The Ents march on Isengard,Done,2022-02-07 19:26:00,2022-02-03 11:29:00,High,LR-1804,336198,,Frodo Baggins,Frodo Baggins,2022-02-06 10:09:00,7920.0
Sub-task,The Ents march on Isengard,Done,2022-02-03 15:05:00,2022-02-03 10:16:00,ASAP,LR-3398,336183,331993.0,Aragorn,Samwise Gamgee,2022-02-03 13:40:00,7200.0
Task,The battle of Pelennor Fields,Done,2022-02-04 18:56:00,2022-02-03 08:51:00,Unspecified,LR-3305,336357,,Samwise Gamgee,Boromir,2022-02-03 16:34:00,28800.0
Code review,The Mines of Moria are breached,Done,2022-02-03 15:05:00,2022-02-02 00:38:00,High,LR-2243,335998,333764.0,Aragorn,Frodo Baggins,2022-02-03 13:44:00,5400.0
Sub-task,The Paths of the Dead are taken,Done,2022-02-12 13:28:00,2022-01-31 23:07:00,Unspecified,LR-1207,335955,331042.0,Pippin Took,Gandalf,2022-02-10 14:20:00,10800.0
Sub-task,Helm's Deep is under siege,Done,2022-02-12 09:45:00,2022-01-31 23:07:00,Unspecified,LR-2522,335954,331042.0,Frodo Baggins,Gandalf,2022-02-10 21:35:00,12600.0
Story,The fall of Sauron at Barad-dûr,Done,2022-02-17 15:09:00,2022-01-31 20:32:00,High,LR-3073,336030,,Gandalf the Grey,Aragorn,2022-02-17 11:54:00,15120.0
Code review,Gandalf returns to Middle-Earth,Done,2022-02-03 15:05:00,2022-01-31 13:41:00,URGENT,LR-3324,335915,334759.0,Samwise Gamgee,Gimli,2022-01-31 16:38:00,16200.0
Code review,The fall of Sauron at Barad-dûr,Done,2022-02-03 15:05:00,2022-01-31 13:38:00,High,LR-1300,335893,330212.0,Frodo Baggins,Saruman,2022-02-03 10:41:00,2520.0
Task,Aragorn claims the throne of Gondor,Done,2022-02-12 09:45:00,2022-01-31 11:41:00,ASAP,LR-1972,335879,,Legolas,Samwise Gamgee,2022-02-12 09:45:00,48000.0
Story,Gandalf returns to Middle-Earth,Done,2022-02-07 19:26:00,2022-01-31 10:42:00,High,LR-2245,335787,,Gandalf the Grey,Gimli,2022-02-06 17:24:00,70200.0
Sub-task,Saruman's betrayal is revealed,Done,2022-02-14 08:19:00,2022-01-31 10:39:00,Medium,LR-1057,335786,331050.0,Legolas,Aragorn,2022-02-12 10:46:00,1800.0
Sub-task,Eowyn defeats the Witch-king,Done,2022-02-03 15:05:00,2022-01-31 10:38:00,Medium,LR-1126,335784,331050.0,Gimli,Frodo Baggins,2022-02-03 12:16:00,1800.0
Task,The battle of Pelennor Fields,Done,2022-02-03 15:05:00,2022-01-31 08:36:00,Unspecified,LR-2637,335852,,Frodo Baggins,Boromir,2022-01-31 16:29:00,28800.0
Code review,Helm's Deep is under siege,Done,2022-02-04 18:56:00,2022-01-30 17:52:00,High,LR-5126,335721,334717.0,Aragorn,Frodo Baggins,2022-02-03 16:39:00,12600.0
Code review,Eowyn defeats the Witch-king,Done,2022-02-03 15:05:00,2022-01-30 16:56:00,URGENT,LR-9551,335817,335604.0,Samwise Gamgee,Boromir,2022-01-31 14:17:00,5400.0
Story,The Paths of the Dead are taken,Done,2022-01-30 17:04:00,2022-01-30 11:29:00,High,LR-2649,335619,,Aragorn,Gandalf,2022-01-30 13:48:00,
Task,The Shire is restored to peace,Done,2022-01-30 17:04:00,2022-01-30 08:39:00,Unspecified,LR-4458,335521,,Gandalf the Grey,Samwise Gamgee,2022-01-30 17:00:00,28800.0
Research,Gandalf returns to Middle-Earth,Done,2022-02-04 10:40:00,2022-01-30 08:37:00,Unspecified,LR-6685,335520,,Frodo Baggins,Boromir,2022-01-30 10:05:00,7200.0
Story,Gandalf returns to Middle-Earth,Done,2022-02-06 08:58:00,2022-01-29 16:49:00,High,LR-5470,335435,,Gandalf the Grey,Legolas,2022-02-05 17:17:00,31200.0
Story,Aragorn claims the throne of Gondor,Done,2022-02-07 19:26:00,2022-01-29 14:07:00,High,LR-3328,335408,,Gimli,Gimli,2022-02-06 09:07:00,10800.0
Story,The battle of Pelennor Fields,Done,2022-02-10 08:40:00,2022-01-29 14:06:00,High,LR-4123,335406,,Frodo Baggins,Saruman,2022-02-06 09:11:00,9000.0
Story,Gandalf returns to Middle-Earth,Done,2022-02-12 09:45:00,2022-01-29 13:58:00,High,LR-1284,335400,,Boromir,Saruman,2022-02-10 21:24:00,8100.0
Sub-task,The battle of Pelennor Fields,Done,2022-02-03 15:05:00,2022-01-29 13:17:00,ASAP,LR-5444,335287,331993.0,Gandalf the Grey,Gandalf,2022-01-31 16:38:00,57600.0
Sub-task,Aragorn claims the throne of Gondor,Done,2022-01-30 17:03:00,2022-01-29 13:15:00,Unspecified,LR-6150,335286,331993.0,Gimli,Boromir,2022-01-29 13:15:00,
Sub-task,The fall of Sauron at Barad-dûr,Done,2022-01-30 17:03:00,2022-01-29 13:14:00,Unspecified,LR-4780,335285,331993.0,Pippin Took,Samwise Gamgee,2022-01-29 13:14:00,
Story,Saruman's betrayal is revealed,Done,2022-01-30 17:04:00,2022-01-29 12:43:00,High,LR-5046,335332,,Pippin Took,Gimli,2022-01-29 16:36:00,14400.0
Code review,Saruman's betrayal is revealed,Done,2022-01-30 17:03:00,2022-01-29 11:36:00,High,LR-6662,335304,329258.0,Frodo Baggins,Samwise Gamgee,2022-01-29 14:22:00,6900.0
Task,The battle of Pelennor Fields,Done,2022-01-30 17:04:00,2022-01-29 08:45:00,Unspecified,LR-1431,335248,,Frodo Baggins,Frodo Baggins,2022-01-29 16:39:00,28800.0
Task,Gollum's betrayal leads to chaos,Done,2022-02-03 15:05:00,2022-01-28 17:46:00,High,LR-1230,335154,,Boromir,Aragorn,2022-01-31 10:04:00,32400.0
Code review,The Ents march on Isengard,Done,2022-01-30 17:04:00,2022-01-28 16:14:00,ASAP,LR-1542,335142,334733.0,Boromir,Legolas,2022-01-29 11:35:00,11520.0
Code review,Saruman's betrayal is revealed,Done,2022-01-30 17:04:00,2022-01-28 14:30:00,High,LR-6933,335098,333500.0,Samwise Gamgee,Aragorn,2022-01-29 15:13:00,7200.0
Code review,Gandalf returns to Middle-Earth,Done,2022-01-30 17:04:00,2022-01-28 12:30:00,High,LR-6326,335104,334944.0,Frodo Baggins,Gimli,2022-01-28 16:22:00,12600.0
Story,The fellowship forms in Rivendell,Done,2022-02-03 15:05:00,2022-01-28 12:13:00,ASAP,LR-5507,335100,,Gimli,Samwise Gamgee,2022-02-03 15:05:00,14400.0
Code review,Gollum's betrayal leads to chaos,Done,2022-01-30 17:03:00,2022-01-28 11:29:00,ASAP,LR-5817,334982,331519.0,Boromir,Frodo Baggins,2022-01-28 15:29:00,7200.0
Story,Helm's Deep is under siege,Done,2022-01-30 17:04:00,2022-01-28 10:00:00,High,LR-3014,334944,,Legolas,Legolas,2022-01-28 18:14:00,9720.0
Sub-task,The battle of Pelennor Fields,Done,2022-02-04 18:56:00,2022-01-28 09:54:00,Unspecified,LR-2458,334943,330329.0,Gandalf the Grey,Legolas,2022-02-04 14:51:00,86400.0
Task,The Paths of the Dead are taken,Done,2022-01-30 17:04:00,2022-01-28 08:33:00,Unspecified,LR-4970,335028,,Frodo Baggins,Samwise Gamgee,2022-01-28 16:45:00,28800.0
Story,The battle of Pelennor Fields,Done,2022-02-03 15:05:00,2022-01-27 17:45:00,ASAP,LR-9564,334901,,Samwise Gamgee,Aragorn,2022-02-03 15:05:00,21600.0
Task,Gollum's betrayal leads to chaos,Done,2022-02-10 09:39:00,2022-01-27 16:35:00,URGENT,LR-4764,334759,,Legolas,Gimli,2022-02-10 09:37:00,30600.0
Story,Frodo and Sam reach Mount Doom,Done,2022-02-10 09:39:00,2022-01-27 15:37:00,ASAP,LR-6787,334733,,Legolas,Boromir,2022-02-10 09:38:00,20520.0
Task,The fellowship forms in Rivendell,Done,2022-02-10 09:39:00,2022-01-27 13:24:00,High,LR-3249,334717,,Gimli,Aragorn,2022-02-10 09:38:00,30960.0
Code review,Eowyn defeats the Witch-king,Done,2022-01-30 17:03:00,2022-01-27 12:11:00,High,LR-2488,334571,326526.0,Pippin Took,Frodo Baggins,2022-01-27 16:32:00,10500.0
Code review,The Paths of the Dead are taken,Done,2022-01-30 17:03:00,2022-01-27 11:52:00,High,LR-6967,334649,309169.0,Pippin Took,Saruman,2022-01-27 13:41:00,7200.0
Research,The battle of Pelennor Fields,Done,2022-02-10 09:39:00,2022-01-27 09:18:00,High,LR-4238,334628,,Boromir,Samwise Gamgee,2022-02-10 08:30:00,20100.0
Task,Saruman's betrayal is revealed,Done,2022-01-30 17:04:00,2022-01-27 08:58:00,Medium,LR-9965,334627,,Gandalf the Grey,Boromir,2022-01-27 16:37:00,28800.0
Code review,The Shire is restored to peace,Done,2022-01-30 17:04:00,2022-01-26 00:48:00,ASAP,LR-7534,334103,334102.0,Gimli,Aragorn,2022-01-28 15:25:00,3600.0
Story,The fellowship forms in Rivendell,Done,2022-02-10 09:15:00,2022-01-26 00:47:00,ASAP,LR-6962,334102,,Boromir,Gimli,2022-02-05 17:17:00,21600.0
Code review,Frodo and Sam reach Mount Doom,Done,2022-01-30 17:03:00,2022-01-24 17:32:00,High,LR-6634,333875,324815.0,Gandalf the Grey,Samwise Gamgee,2022-01-27 15:25:00,9000.0
Sub-task,The One Ring has been found,Done,2022-01-30 17:03:00,2022-01-24 13:22:00,High,LR-3005,333779,329582.0,Samwise Gamgee,Aragorn,2022-01-29 08:59:00,25200.0
Story,The One Ring has been found,Done,2022-02-10 09:39:00,2022-01-24 12:45:00,High,LR-5122,333764,,Samwise Gamgee,Aragorn,2022-02-10 09:38:00,21600.0
Research,The Mines of Moria are breached,Done,2022-01-27 11:33:00,2022-01-24 09:02:00,Medium,LR-7841,333694,,Legolas,Aragorn,2022-01-27 09:15:00,18000.0
Task,The fellowship forms in Rivendell,Done,2022-01-27 11:33:00,2022-01-24 08:38:00,Medium,LR-9533,333690,,Gimli,Frodo Baggins,2022-01-24 16:48:00,28800.0
Task,Frodo and Sam reach Mount Doom,Done,2022-01-24 13:49:00,2022-01-23 16:16:00,Medium,LR-4062,333571,,Pippin Took,Legolas,2022-01-23 17:24:00,3960.0
Task,The Shire is restored to peace,Done,2022-01-24 13:49:00,2022-01-23 13:36:00,Medium,LR-7502,333518,,Samwise Gamgee,Gimli,2022-01-23 16:15:00,7200.0
Code review,The Paths of the Dead are taken,Done,2022-01-24 13:49:00,2022-01-23 12:49:00,High,LR-2590,333507,333488.0,Pippin Took,Saruman,2022-01-23 14:29:00,3600.0
Task,Frodo and Sam reach Mount Doom,Done,2022-01-30 17:04:00,2022-01-23 12:37:00,High,LR-4117,333500,,Gandalf the Grey,Boromir,2022-01-29 16:10:00,22800.0
Code review,The fall of Sauron at Barad-dûr,Done,2022-01-24 13:48:00,2022-01-23 12:34:00,ASAP,LR-5979,333497,331868.0,Legolas,Gimli,2022-01-24 10:01:00,7200.0
Story,The Shire is restored to peace,Done,2022-01-24 13:48:00,2022-01-23 12:11:00,High,LR-2362,333488,,Boromir,Samwise Gamgee,2022-01-23 22:58:00,9000.0
Code review,Gandalf returns to Middle-Earth,Done,2022-01-24 13:48:00,2022-01-23 11:11:00,ASAP,LR-2071,333467,316809.0,Gandalf the Grey,Legolas,2022-01-23 15:26:00,7200.0
Task,Gandalf returns to Middle-Earth,Done,2022-02-06 09:28:00,2022-01-23 10:39:00,Medium,LR-8339,333455,,Aragorn,Saruman,2022-01-30 16:07:00,19200.0
Story,The Ents march on Isengard,Done,2022-02-18 15:17:00,2022-01-23 09:39:00,Medium,LR-4694,333440,,Gimli,Boromir,2022-02-18 11:00:00,46800.0
Story,Frodo and Sam reach Mount Doom,Done,2022-02-18 15:17:00,2022-01-23 09:33:00,Medium,LR-8411,333437,,Gimli,Saruman,2022-02-17 15:19:00,10800.0
Task,Gollum's betrayal leads to chaos,Done,2022-01-23 13:39:00,2022-01-23 08:30:00,Medium,LR-6372,333421,,Boromir,Gimli,2022-01-23 13:39:00,18000.0
Task,Aragorn claims the throne of Gondor,Done,2022-01-23 08:36:00,2022-01-22 14:14:00,Medium,LR-7712,333311,,Legolas,Boromir,2022-01-22 19:04:00,10800.0
Code review,The Paths of the Dead are taken,Done,2022-01-24 13:48:00,2022-01-22 14:13:00,High,LR-1999,333310,330675.0,Samwise Gamgee,Frodo Baggins,2022-01-23 00:59:00,6000.0
Sub-task,The battle of Pelennor Fields,Done,2022-01-30 17:03:00,2022-01-22 13:09:00,URGENT,LR-9983,333281,330329.0,Samwise Gamgee,Gimli,2022-01-28 09:52:00,45300.0
Code review,Saruman's betrayal is revealed,Done,2022-01-24 13:48:00,2022-01-22 11:58:00,High,LR-9191,333262,332324.0,Frodo Baggins,Samwise Gamgee,2022-01-22 15:59:00,7200.0
Task,The Shire is restored to peace,Done,2022-01-22 15:40:00,2022-01-22 08:40:00,Medium,LR-3279,333208,,Gimli,Boromir,2022-01-22 14:17:00,18000.0
Code review,The One Ring has been found,Done,2022-01-27 11:33:00,2022-01-22 00:06:00,ASAP,LR-6837,333168,332296.0,Frodo Baggins,Legolas,2022-01-24 17:03:00,12600.0
Code review,The Ents march on Isengard,Done,2022-01-22 15:40:00,2022-01-21 17:30:00,High,LR-9320,333126,332925.0,Gandalf the Grey,Boromir,2022-01-22 10:59:00,9000.0
